section,local_element_index,body_index,element_type,style,rows,cols,equation_labels,omath_count,omath_para_count,drawing_count,text
2.10,8,286,PARAGRAPH,Normal,,,,0,0,0,"Arah kedua mencakup penyesuaian dan penalaan parameter pengendali. dan menunjukkan bahwa pembaruan gain PI berdasarkan kondisi sistem dapat meningkatkan respons dinamis. , , dan memperlihatkan penggunaan metaheuristik dalam pencarian parameter berdasarkan fungsi objektif tertentu. Pendekatan tersebut umumnya menghasilkan parameter melalui optimasi luring dan belum membentuk pemetaan langsung dari urutan kondisi operasi menuju gain PI yang diperbarui pada interval supervisori."
2.10,9,287,PARAGRAPH,Normal,,,,0,0,0,"Arah ketiga berkaitan dengan pembelajaran temporal menggunakan LSTM dan QLSTM. membentuk dasar arsitektur LSTM, sedangkan mengintegrasikan VQC ke dalam transformasi gerbang LSTM. , , dan menunjukkan penerapan QLSTM pada data sekuensial dalam domain yang berbeda. Hasil penelitian tersebut mendukung relevansi QLSTM untuk pemodelan temporal, tetapi belum membuktikan kemampuannya dalam menentukan gain PI adaptif pada ELC PLTMH."
2.10,10,288,PARAGRAPH,Normal,,,,5,0,0,"Berdasarkan sintesis tersebut, kesenjangan penelitian terletak pada belum terintegrasinya informasi temporal kondisi operasi PLTMH, pembentukan target gain berbasis fungsi objektif, dan QLSTM sebagai model penentu gain PI adaptif pada ELC. Penelitian ini menempatkan QLSTM sebagai adaptive gain scheduler yang memetakan jendela kondisi operasi menjadi estimasi gain dan . Target dan dibentuk melalui optimasi luring berbasis pencarian grid bertahap pada model simulasi, bukan melalui algoritma metaheuristik. Gain hasil estimasi selanjutnya dibatasi, dihaluskan, dan diterapkan pada PI dalam simulasi closed-loop. Nilai tambah QLSTM diuji melalui perbandingan dengan PI gain tetap dan PI adaptif berbasis LSTM pada skenario perubahan beban yang sama."
2.10,11,289,PARAGRAPH,Normal,,,,0,0,0,"Posisi tersebut membedakan penelitian ini dari kajian sebelumnya pada empat aspek, yaitu fungsi QLSTM sebagai penentu gain, penggunaan jendela temporal sebagai masukan, pembentukan target gain yang dapat ditelusuri, dan pengujian nilai tambah QLSTM terhadap LSTM klasik. Validasi penelitian dibatasi pada simulasi numerik sehingga hasilnya belum merepresentasikan implementasi hardware-in-the-loop maupun perangkat ELC fisik."
2.11,0,290,PARAGRAPH,Heading 4,,,,0,0,0,Hipotesis Penelitian
2.11,1,291,PARAGRAPH,First Paragraph,,,,0,0,0,Hipotesis utama penelitian adalah bahwa PI adaptif berbasis QLSTM menghasilkan nilai indikator galat frekuensi yang lebih rendah daripada PI gain tetap pada skenario uji yang sama. Hipotesis kedua menguji kontribusi lapisan kuantum dengan membandingkan QLSTM–PI dan LSTM–PI.
2.11,2,292,PARAGRAPH,Body Text,,,,1,0,0,"Untuk indikator , hipotesis statistik dirumuskan sebagai:"
2.11,3,293,TABLE,,2.0,2.0,2.28;2.29,2,2,0,| (2.28) || | (2.29)
2.11,4,294,PARAGRAPH,First Paragraph,,,2.28;2.29,0,0,0,"Persamaan (2.28) menguji manfaat QLSTM terhadap PI gain tetap, sedangkan Persamaan (2.29) menguji nilai tambah QLSTM terhadap LSTM klasik. Kedua hipotesis diuji menggunakan pasangan skenario yang sama sesuai Subbab 3.10."
2.11,5,295,PARAGRAPH,First Paragraph,,,,0,0,0,"Penolakan atau penerimaan hipotesis tidak menjadi satu-satunya dasar kesimpulan. Besar peningkatan teknis, ukuran efek, konsistensi pada berbagai skenario, galat estimasi gain, dan biaya komputasi digunakan untuk menilai manfaat praktis QLSTM. Jika QLSTM setara atau lebih rendah daripada LSTM, hasil tersebut tetap menjawab pertanyaan penelitian secara sah."
